,Country,Code,Year,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent,country_code,region,life_expect,life_exp60,adult_mortality,infant_mort,age1-4mort,alcohol,bmi,age5-19thinness,age5-19obesity,hepatitis,measles,polio,diphtheria,basic_water,doctors,hospitals,gni_capita,gghe-d,che_gdp,une_pop,une_infant,une_life,une_hiv,une_gni,une_poverty,une_edu_spend,une_literacy,une_school,Region,Hemisphere,HappinessScore,HDI,GDP_PerCapita,Beer_PerCapita,Spirit_PerCapita,Wine_PerCapita,Alcohol_PerCapita
36,Belgium,BEL,2000,12.49,43023.30716,10282046,,BEL,Europe,77.90189,21.84922,99.34914,0.00456,0.000275,11.21137,25.5,0.8,6.6,60,82,96,95,100,28.204,,28310,5.91925,7.942,10282.033,4.8,77.72195,,28690,,,,,Western Europe,north,6.929,915,41.261,3.6875,1.05,2.65,7.3875
37,Belgium,BEL,2005,13.13,46341.28964,10546885,,BEL,Europe,79.20067,22.69998,88.14542,0.004,0.00025,12.21445,25.7,0.8,6.7,77,88,97,97,100,28.521,,32400,6.91519,9.00698,10546.886,4,78.98049,,33720,0.2,5.76901,,,Western Europe,north,6.929,915,41.261,3.6875,1.05,2.65,7.3875
38,Belgium,BEL,2010,11.4,47971.63031,10938735,,BEL,Europe,80.15939,23.42096,81.23653,0.003665,0.00021,10.27107,25.9,0.9,6.7,97,95,98,98,100,29.085,,38810,7.75324,9.97473,10938.739,3.6,80.18293,,41310,0.2,6.40799,,11.40962,Western Europe,north,6.929,915,41.261,3.6875,1.05,2.65,7.3875
39,Belgium,BEL,2015,11.82,49455.44134,11287931,Europe,BEL,Europe,80.93436,23.81369,71.87219,0.003185,0.00018,10.36,26.1,1,6.9,98,96,99,99,100,30.138,,,7.97455,10.28013,11287.94,3.2,80.99268,,45330,,6.53944,,12.01187,Western Europe,north,6.929,915,41.261,3.6875,1.05,2.65,7.3875
40,Belize,BLZ,2000,5.55,6599.339352,247310,,BLZ,Americas,68.69217,16.6203,198.3718,0.01972,0.000955,4.69901,27.4,3.8,5.9,76,96,91,91,87.43149,10.15,,6160,2.08671,4.1409,247.315,20,68.847,1.3,5180,,5.02843,,,Latin America and Caribbean,north,5.956,709,4.96,3.2875,1.425,0.1,4.8125
41,Belize,BLZ,2005,7.16,7363.870636,283798,,BLZ,Americas,69.36648,16.91606,190.4145,0.01823,0.000755,6.10354,27.9,3.6,7.5,96,95,96,96,90.68456,,,8150,2.65887,4.68583,283.8,17.8,69.998,1.7,6280,,,,7.61368,Latin America and Caribbean,north,5.956,709,4.96,3.2875,1.425,0.1,4.8125
42,Belize,BLZ,2010,7.08,7294.684143,322465,,BLZ,Americas,69.84194,16.93588,182.1816,0.016775,0.000655,6.42788,28.4,3.5,9.4,96,98,96,96,93.93748,,,7720,3.83423,5.76443,322.464,16.2,72.057,1.9,6930,,6.62963,,10.49766,Latin America and Caribbean,north,5.956,709,4.96,3.2875,1.425,0.1,4.8125
43,Belize,BLZ,2015,6.74,7358.582292,360926,North America,BLZ,Americas,70.25218,17.03024,181.5948,0.013075,0.000545,6.25672,28.9,3.4,11.7,94,96,94,94,97.1756,,,,4.09518,5.90321,360.933,13.2,74.034,1.9,8060,,6.76618,,,Latin America and Caribbean,north,5.956,709,4.96,3.2875,1.425,0.1,4.8125
44,Benin,BEN,2000,2.46,2478.218238,6865946,,BEN,Africa,55.60088,16.4459,281.8114,0.096595,0.015685,1.43565,22.1,9.9,0.8,,70,78,78,61.4597,,,1200,1.103,4.23001,6865.951,86.4,55.391,1.3,1320,,2.88869,,,Sub-Saharan Africa,north,3.484,512,789,0.425,0.05,0.1625,0.6375
45,Benin,BEN,2005,2.23,2581.642252,7982223,,BEN,Africa,57.05711,16.54243,283.7295,0.084125,0.01293,1.24076,22.6,8.9,1.2,70,61,73,70,63.13576,,,1400,0.93324,4.01272,7982.225,77.5,57.355,1.3,1540,,3.63079,,,Sub-Saharan Africa,north,3.484,512,789,0.425,0.05,0.1625,0.6375
46,Benin,BEN,2010,2.47,2704.705484,9199254,,BEN,Africa,59.30233,16.94562,256.6892,0.07485,0.01116,1.42133,23.1,7.9,1.8,76,68,77,76,64.69237,0.558,,1590,0.99011,4.08981,9199.259,70.8,59.318,1.1,1770,,5.02932,,,Sub-Saharan Africa,north,3.484,512,789,0.425,0.05,0.1625,0.6375
47,Benin,BEN,2015,2.97,2945.970221,10575962,Africa,BEN,Africa,60.71272,17.17003,246.278,0.06824,0.00975,1.55637,23.5,7,2.5,74,67,72,74,66.06565,,,,0.80381,3.99182,10575.952,64.4,60.608,1.1,2110,49.5,4.35643,,,Sub-Saharan Africa,north,3.484,512,789,0.425,0.05,0.1625,0.6375
48,Bosnia and Herzegovina,BIH,2000,6.37,7114.552765,3751176,,BIH,Europe,74.28613,18.77897,128.2534,0.00778,0.000305,3.86539,24.8,3.3,1.8,,80,87,85,97.2697,14.547,,4840,4.08673,7.66594,3751.176,8.6,74.403,0.1,5040,,,96.6631,,Central and Eastern Europe,north,5.163,766,4.809,0.95,2.1625,0.1,3.2125
49,Bosnia and Herzegovina,BIH,2005,7.2,9350.944042,3765332,,BIH,Europe,74.50625,18.66108,111.6042,0.00966,0.000275,4.50231,25,3,2.6,93,90,95,93,97.00271,15.332,,6440,4.94053,9.05224,,7.7,75.198,0.1,6750,,,,,Central and Eastern Europe,north,5.163,766,4.809,0.95,2.1625,0.1,3.2125
50,Bosnia and Herzegovina,BIH,2010,7.32,10938.28505,3705478,,BIH,Europe,76.07134,19.61807,100.7305,0.005095,0.000235,4.54752,25.4,2.7,3.7,89,91,90,89,96.66949,17.987,,8860,6.13793,9.01888,,6.2,76.031,0.1,9500,,,,7.13215,Central and Eastern Europe,north,5.163,766,4.809,0.95,2.1625,0.1,3.2125
51,Bosnia and Herzegovina,BIH,2015,6.92,12630.66234,3429362,Europe,BIH,Europe,77.08836,20.50875,93.71987,0.005875,0.000195,4.72578,25.7,2.4,5.1,82,83,74,82,96.15984,21.616,,,6.61862,9.33954,,5.3,76.865,0.1,12100,,,,9.00841,Central and Eastern Europe,north,5.163,766,4.809,0.95,2.1625,0.1,3.2125
52,Botswana,BWA,2000,9.05,11439.9084,1643333,,BWA,Africa,49.11067,15.27135,601.4875,0.05537,0.00854,5.37919,23.6,12.7,1.5,86,91,97,97,75.19897,3.037,,7620,3.19477,5.82726,1643.334,50,50.629,26.3,8010,,,,,Sub-Saharan Africa,south,3.974,712,6.954,2.1625,0.4375,0.4375,3.0375
53,Botswana,BWA,2005,9.61,12484.23043,1799077,,BWA,Africa,52.21122,15.82546,535.2794,0.04734,0.006875,6.37538,23.9,10.4,2.6,92,93,96,96,76.29915,2.59,,9330,2.84126,5.02534,1799.078,42.4,52.13,24.6,9540,,10.67859,,,Sub-Saharan Africa,south,3.974,712,6.954,2.1625,0.4375,0.4375,3.0375
54,Botswana,BWA,2010,8.62,14126.38227,1987106,,BWA,Africa,61.23447,16.74382,331.2066,0.04137,0.00329,5.69395,24.1,8.3,4,95,96,96,95,83.04817,4.122,,12500,3.56495,6.19402,1987.105,38.4,60.211,23.2,12410,,,,,Sub-Saharan Africa,south,3.974,712,6.954,2.1625,0.4375,0.4375,3.0375
55,Botswana,BWA,2015,6.86,16714.39782,2120716,Africa,BWA,Africa,65.29367,17.27297,263.3242,0.03359,0.002115,5.11919,24.3,6.6,5.8,95,97,96,95,88.44628,,,,3.88002,5.7263,2120.716,33.2,67.338,21.6,16470,16.1,,,,Sub-Saharan Africa,south,3.974,712,6.954,2.1625,0.4375,0.4375,3.0375
56,Brazil,BRA,2000,8.78,11600.94846,174790339,,BRA,Americas,69.8958,18.66274,183.8354,0.030955,0.00116,7.30018,24.8,3.5,5.3,94,99,99,98,93.65429,11.337,,8500,3.47024,8.3348,,30.4,70.116,0.4,8810,,3.94893,86.36788,,Latin America and Caribbean,both,6.952,758,8.639,3.0625,1.8125,0.2,5.075
57,Brazil,BRA,2005,8.32,12565.94139,186127108,,BRA,Americas,72.11478,19.82449,162.1891,0.024225,0.000765,6.76236,25.3,3.2,6.8,98,98,99,99,95.06841,16.663,,10260,3.34887,8.04408,186127.103,22.1,71.896,0.5,10690,8.6,4.47908,,,Latin America and Caribbean,both,6.952,758,8.639,3.0625,1.8125,0.2,5.075
58,Brazil,BRA,2010,8.49,14873.20832,195713637,,BRA,Americas,73.34766,20.43184,154.3351,0.018175,0.00054,7.12431,25.8,3,8.6,96,99,99,99,96.32925,18.139,,13520,3.57877,7.94907,,16.7,73.619,0.5,13900,,5.6488,90.37918,7.64748,Latin America and Caribbean,both,6.952,758,8.639,3.0625,1.8125,0.2,5.075
59,Brazil,BRA,2015,7.86,15064.17607,204471759,South America,BRA,Americas,74.88107,21.49023,144.515,0.01366,0.000435,6.59281,26.5,2.7,10.4,96,96,98,96,97.60592,,,,3.80636,8.8702,204471.769,14,74.994,0.5,15470,3.4,6.24106,92.0479,7.59973,Latin America and Caribbean,both,6.952,758,8.639,3.0625,1.8125,0.2,5.075
60,Bulgaria,BGR,2000,11.8,10201.27812,7997951,,BGR,Europe,71.47407,17.65336,162.7159,0.01458,0.000835,10.25667,25.3,2.6,4.7,94,89,94,93,99.74083,34.416,,6080,3.496,5.87085,7997.957,14.3,71.66341,0.1,6220,,,,,Central and Eastern Europe,north,4.217,810,7.469,2.8875,3.15,1.175,7.2125
61,Bulgaria,BGR,2005,11.42,14356.01968,7686964,,BGR,Europe,72.51672,18.22509,156.423,0.010985,0.000575,10.21572,25.6,2.3,6.1,96,96,97,96,99.61935,36.651,,9840,4.13679,6.9442,7686.962,11,72.56098,0.1,10240,,4.14106,,,Central and Eastern Europe,north,4.217,810,7.469,2.8875,3.15,1.175,7.2125
